"","ï..Prevalence.Estimate.Name","Rapid.Review..Study","URL","Source.Type","Country","State.Province","County","City","Sampling.Start.Date","Sampling.End.Date","Sample.Frame..groups.of.interest.","Sampling.Method","Denominator.Value","Serum.positive.prevalence","Serum.pos.prevalence..95pct.CI.Lower","Serum.pos.prevalence..95pct.CI.Upper","JBI.9","Overall.Risk.of.Bias..JBI.","Response.Rate..","RR.obtained.from.email.correspondence","Email","Notes","X","url1","start_date","region","IR_lower","IR_upper","RR","prob_sampling","sample_size","reported"
"236","201228_Karachi_AgaKhanUniversity_Phase1DistrictMalir_PopTestAdj","201228_Karachi_AgaKhanUniversity_Phase1District Malir","https://www.medrxiv.org/content/10.1101/2020.07.28.20163451v4.full.pdf","Preprint","Pakistan","Sindh","","Karachi","15-Apr-20","25-Apr-20","Household and community samples","Simplified probability","500","0.20%","0.00%","0.70%","No","Low","56%","","","Complicated","","https://www.medrxiv.org/content/10.1101/2020.07.28.20163451v4.full.pdf",2020-04-15,"Other",0,0.7,56,TRUE,500,TRUE
"248","200506_Atlanta_GeorgiaStateUniversity_GeneralPop_IgG","200506_Atlanta_GeorgiaStateUniversity","https://www.medrxiv.org/content/10.1101/2020.05.01.20087478v1","Preprint","United States of America","Georgia","Fulton, DeKalb","Atlanta","17-Apr-20","27-Apr-20","Household and community samples","Convenience","127","2.36%","","","Unclear","High","100%","Emailed","agewirtz@gsu.edu <agewirtz@gsu.edu>;","restates that it was not a random study population","","https://www.medrxiv.org/content/10.1101/2020.05.01.20087478v1",2020-04-17,"US",NA,NA,100,FALSE,127,FALSE
"253","201215_Iran_TehranUniversityofMedicalSciences_GenPop1_overall_PopTestAdj","201215_Iran_TehranUniversityofMedicalSciences_GenPop1","http://dx.doi.org/10.1016/S1473-3099%2820%2930858-6","Journal article","Iran (Islamic Republic of)","","","Ahvaz, Ardabil, Babol , Esfahan , Gorgan, Hamedan, Kerman, Kermanshah, Mashhad, Qom, Rasht, Sanandaj, Sari, Shiraz, Tabriz, Tehran, Urmia, Zahedan","17-Apr-20","02-Jun-20","Household and community samples","Stratified probability","3530","17.10%","14.60%","19.50%","Yes","Low","96.90%","","","8902Â included in the study, divided between high risk occupations (5372) and GP (3530)/9181","","http://dx.doi.org/10.1016/S1473-3099%2820%2930858-6",2020-04-17,"Other",14.6,19.5,96.9,TRUE,3530,TRUE
"257","201031_VillaCaldari_IstitutoZooprofilatticoSperimentaleDellâ€™AbruzzoEdelMoliseG.Caporale_Overall","201031_VillaCaldari_IstitutoZooprofilatticoSperimentaleDellâ€™AbruzzoEdelMoliseGCaporale","https://dx.doi.org/10.3390/microorganisms8111711","Journal article","Italy","Abruzzo","Chieti","Villa Caldari","18-Apr-20","19-Apr-20","Household and community samples","Entire sample","687","10.90%","8.80%","13.50%","Yes","Moderate","71.70%","","","","","https://dx.doi.org/10.3390/microorganisms8111711",2020-04-18,"Europe",8.8,13.5,71.7,FALSE,687,TRUE
"258","200617_NewYork_StateUniversityofNewYork_GeneralPopTestPopAdj","200617_NewYork_NewYorkStateDepartmentofHealth","https://dx.doi.org/10.1016/j.annepidem.2020.06.004","Journal article","United States of America","New York","","","19-Apr-20","28-Apr-20","Household and community samples","Convenience","15101","14.00%","13.30%","14.70%","Unclear","Moderate","Convenience, N/a","Emailed","erosenberg2@albany.edu <erosenberg2@albany.edu>;","","","https://dx.doi.org/10.1016/j.annepidem.2020.06.004",2020-04-19,"US",13.3,14.7,NA,FALSE,15101,FALSE
"259","200703_Teresina_CentrodeOperaÃ§ÃµesdeEmergÃªnciasemSaÃºdePÃºblica_Apr19","200703_Teresina_ CentrodeOperaÃ§ÃµesdeEmergÃªnciasemSaÃºdePÃºblica_1_Apr19","https://dx.doi.org/10.1590/0037-8682-0351-2020","Journal article","Brazil","Piaui","","Teresina","19-Apr-20","19-Apr-20","Household and community samples","Stratified probability","900","0.56%","0.18%","1.30%","Unclear","Moderate","","Emailed","marceloadrianoneuro@gmail.com <marceloadrianoneuro@gmail.com>;","","","https://dx.doi.org/10.1590/0037-8682-0351-2020",2020-04-19,"Other",0.18,1.3,NA,TRUE,900,FALSE
"261","200815_Bolinas_UniversityofCaliforniaSanFrancisto_AbbottElisaBolinasResidents","200815_Bolinas_UniversityofCaliforniaSanFrancisco","https://www.medrxiv.org/content/10.1101/2020.08.15.20175786v1","Preprint","United States of America","California","Marin County","Bolinas","20-Apr-20","24-Apr-20","Household and community samples","Self-referral","1312","0.16%","0.02%","0.46%","Unclear","High","80%","Emailed","Ayesha.appa@ucsf.edu <Ayesha.appa@ucsf.edu>;","population estimates by Census and ACS were changing quite a bit, it was hard to know exactly how reliable this was, but our participation rate was somewhere between 80-100%!","","https://www.medrxiv.org/content/10.1101/2020.08.15.20175786v1",2020-04-20,"US",0.02,0.46,80,FALSE,1312,FALSE
"265","200622_Rostock_UniversitÃ¤tsmedizinRostock_Mothers_IgGorIgA","200622_Rostock_UniversitÃ¤tsmedizinRostock","https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-1197-4293","Journal article","Germany","Mecklenburg-Westpomerania","","Rostock","20-Apr-20","22-Apr-20","Household and community samples","Self-referral","401","2.99%","","","Unclear","High","","Emailed","emil.reisinger@uni-rostock.de <emil.reisinger@uni-rostock.de>;","","","https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-1197-4293",2020-04-20,"Europe",NA,NA,NA,FALSE,401,FALSE
"266","200721_Tokyo_NavitasClinicTachikawa_Overall","200721_Tokyo_NavitasClinicTachikawa","https://www.medrxiv.org/content/10.1101/2020.06.03.20121020v1, https://dx.doi.org/10.1177/2150132720942695","Preprint","Japan","Kanto, ChÅ«bu ","","Tokyo, Kangawa, Saitama, Chiba, Yamanashi","20-Apr-20","20-May-20","Household and community samples","Self-referral","1071","3.83%","2.76%","5.16%","Unclear","High","","Emailed","takita-ygc@umin.ac.jp <takita-ygc@umin.ac.jp>;","","","https://dx.doi.org/10.1177/2150132720942695",2020-04-20,"Other",2.76,5.16,NA,FALSE,1071,FALSE
"280","200911_Barcelona_SardenyaPrimaryHealthCareCenter_Overall","200911_Barcelona_SardenyaPrimaryHealthCareCenter_Asymptomatic","http://dx.doi.org/10.1093/fampra/cmaa096","Journal article","Spain","Catalonia","","Barcelona","21-Apr-20","24-Apr-20","Household and community samples","Stratified probability","311","5.47%","3.44%","8.58%","No","High","52.00%","","","","","http://dx.doi.org/10.1093/fampra/cmaa096",2020-04-21,"Europe",3.44,8.58,52,TRUE,311,TRUE
"281","200822_Ischgl_MedicalUniversityofInnsbruck_GenPop","200822_Ischgl_MedicalUniversityofInnsbruck","https://www.medrxiv.org/content/10.1101/2020.08.20.20178533v1","Preprint","Austria","Tyrol","","Ischgl","21-Apr-20","27-Apr-20","Household and community samples","Entire sample","1473","42.40%","39.80%","44.70%","Yes","Moderate","82.7% adult, 63.5 pediatric","","","","","https://www.medrxiv.org/content/10.1101/2020.08.20.20178533v1",2020-04-21,"Europe",39.8,44.7,82.7,FALSE,1473,TRUE
"292","201013_AddisAbaba_MinistryOfHealthEthiopia_TestAdj_PopUnAdj","201013_AddisAbaba_MinistryOfHealthEthiopia","https://www.biorxiv.org/content/10.1101/2020.10.13.337287v1","Preprint","Ethiopia","","Oromia Region","Addis Ababa","23-Apr-20","28-Apr-20","Household and community samples","Simplified probability","301","8.80%","5.50%","11.60%","Unclear","Moderate","","Emailed","adamuaddissie@gmail.com <adamuaddissie@gmail.com>;","","","https://www.biorxiv.org/content/10.1101/2020.10.13.337287v1",2020-04-23,"Other",5.5,11.6,NA,TRUE,301,FALSE
"293","201129_Lima_INS_unadj","201129_Lima_INS","https://www.medrxiv.org/content/10.1101/2020.09.06.20189456v2","Preprint","Peru","Lima","Metropolitan Lima","Lima","23-Apr-20","02-May-20","Household and community samples","Stratified non-probability","236","53.00%","","","Unclear","Moderate","","Emailed","yangulobazan@gmail.com <yangulobazan@gmail.com>;","","","https://www.medrxiv.org/content/10.1101/2020.09.06.20189456v2",2020-04-23,"Other",NA,NA,NA,FALSE,236,FALSE
"305","200818_SanFrancisco_UniversityofCaliforniaSanFrancisco","200818_SanFrancisco_UniversityofCaliforniaSanFrancisco","http://dx.doi.org/10.1093/cid/ciaa1234","Journal article","United States of America","California","San Francisco","San Francisco","25-Apr-20","28-Apr-20","Household and community samples","Self-referral","3861","3.40%","2.90%","4.10%","Unclear","High","","Emailed","gabriel.chamie@ucsf.edu <gabriel.chamie@ucsf.edu>;","","","http://dx.doi.org/10.1093/cid/ciaa1234",2020-04-25,"US",2.9,4.1,NA,FALSE,3861,FALSE
"316","200901_Iceland_deCODEGenetics_OverallPopAdj","200901_Iceland_deCODEGenetics","http://dx.doi.org/10.1056/NEJMoa2026116","Journal article","Iceland","","","","27-Apr-20","12-Jun-20","Household and community samples","Convenience","23452","0.30%","","","Unclear","Low","76.70%","Emailed","kstefans@decode.is","","","http://dx.doi.org/10.1056/NEJMoa2026116",2020-04-27,"Europe",NA,NA,76.7,FALSE,23452,FALSE
"324","201004_SEEngland_Kingâ€™sCollegeLondon","201004_SEEngland_Kingâ€™sCollegeLondon","http://dx.doi.org/10.1016/j.jinf.2020.10.011","Journal article","The United Kingdom","South East England","","","27-Apr-20","02-Jun-20","Household and community samples","Unclear","431","12.00%","9.10%","15.20%","No","High","48.20%","","","","","http://dx.doi.org/10.1016/j.jinf.2020.10.011",2020-04-27,"Europe",9.1,15.2,48.2,NA,431,TRUE
"325","200727_ FaroeIslands_TheFaroeseHospitalSystem_GenPop_TestAdj","200727_ FaroeIslands_TheFaroeseHospitalSystem","http://dx.doi.org/10.3201/eid2611.202736","Journal article","Faroe Islands","Faroe Islands","","","27-Apr-20","01-May-20","Household and community samples","Simplified probability","1075","0.70%","","","Yes","Low","71.70%","","","","","http://dx.doi.org/10.3201/eid2611.202736",2020-04-27,"Europe",NA,NA,71.7,TRUE,1075,TRUE
"326","200706_Spain_InstituteofHealthCarlosIII_GeneralPopulation_ImmunoAssay","200706_Spain_InstituteofHealthCarlosIII","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31483-5/fulltext","Journal article","Spain","","","","27-Apr-20","11-May-20","Household and community samples","Stratified probability","51958","4.60%","4.30%","5.00%","Yes","Low","75.10%","","","","","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31483-5/fulltext",2020-04-27,"Europe",4.3,5,75.1,TRUE,51958,TRUE
"330","200724_DeKalbFulton_CDCCOVID-19ResponseTeam_Overall_PopAdj","200724_DeKalbFulton_CDCCOVID-19ResponseTeam","https://dx.doi.org/10.15585/mmwr.mm6929e2","Journal article","United States of America","Georgia","DeKalb, Fulton","","28-Apr-20","03-May-20","Household and community samples","Stratified probability","696","2.50%","1.40%","4.50%","Unclear","Low","","Emailed","xdc6@cdc.gov <xdc6@cdc.gov>;","","","https://dx.doi.org/10.15585/mmwr.mm6929e2",2020-04-28,"US",1.4,4.5,NA,TRUE,696,FALSE
"334","200629_Crepy-en-Valois_PasteurInstitute_Overall","200629_Crepy-en-Valois_PasteurInstitute","https://www.medrxiv.org/content/10.1101/2020.06.25.20140178v2","Preprint","France","Hauts-de-France","Oise","Crepy-en-Valois","28-Apr-20","30-Apr-20","Household and community samples","Convenience","1340","10.40%","","","No","Moderate","53.50%","","","","","https://www.medrxiv.org/content/10.1101/2020.06.25.20140178v2",2020-04-28,"Europe",NA,NA,53.5,FALSE,1340,TRUE
"339","201013_PimaCounty_UniversityofArizona_Overall","201013_PimaCounty_UniversityofArizona","http://dx.doi.org/10.1016/j.immuni.2020.10.004","Journal article","United States of America","Arizona","Pima County","","30-Apr-20","07-May-20","Household and community samples","Self-referral","5882","1.24%","","","Unclear","High","Complex-N/A","Emailed","nikolich@arizona.edu;","opened a web-based signup where the first x number of people in a few different categories (healthcare workers, frontline responders, students, general public) were able to register","","http://dx.doi.org/10.1016/j.immuni.2020.10.004",2020-04-30,"US",NA,NA,NA,FALSE,5882,FALSE
"346","200715_Ecuador_TheAtahualpaProject_Overall","200715_Ecuador_TheAtahualpaProject","https://dx.doi.org/10.1007/s10900-020-00887-9","Journal article","Ecuador","El Oro","","Paccha","01-May-20","31-May-20","Household and community samples","Convenience","319","44.20%","","","Unclear","High","","Emailed","oscardelbrutto@hotmail.com <oscardelbrutto@hotmail.com>;","","","https://dx.doi.org/10.1007/s10900-020-00887-9",2020-05-01,"Other",NA,NA,NA,FALSE,319,FALSE
"355","200717_Hungary_SemmelweisUniversity__GenPop_PopAdj","200717_Hungary_SemmelweisUniversity","https://dx.doi.org/10.1007/s11357-020-00226-9","Journal article","Hungary","","","","01-May-20","16-May-20","Household and community samples","Stratified probability","10474","0.68%","0.50%","0.86%","No","Moderate","58.80%","","","","","https://dx.doi.org/10.1007/s11357-020-00226-9",2020-05-01,"Europe",0.5,0.86,58.8,TRUE,10474,TRUE
"359","201006_Brazil_FederalUniversityofSergipe_genpop_IgG","201006_Brazil_FederalUniversityofSergipe","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541966/","Journal article","Brazil","Sergipe","","Aracaju, SimÃ£o Dias, Itabaiana, Itabaianinha, Nossa Senhora do, SÃ£o CristÃ³vÃ£o, EstÃ¢ncia, Lagarto, Tobias Barreto, Nossa Senhora da GlÃ³ria","02-May-20","09-May-20","Household and community samples","Convenience","2635","8.30%","7.20%","9.40%","Unclear","High","","Emailed","makson_gbo@hotmail.com <makson_gbo@hotmail.com>;","","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541966/",2020-05-02,"Other",7.2,9.4,NA,FALSE,2635,FALSE
"374","200717_Switzerland_UniversityofLausanne_GenPop_LuminexAssay","200717_Switzerland_UniversityofLausanne","https://www.medrxiv.org/content/10.1101/2020.07.14.20153536v1","Preprint","Switzerland","Vaud","","","04-May-20","27-Jun-20","Household and community samples","Simplified probability","311","6.40%","","","Unclear","High","","Emailed","giuseppe.pantaleo@chuv.ch <giuseppe.pantaleo@chuv.ch>;","","","https://www.medrxiv.org/content/10.1101/2020.07.14.20153536v1",2020-05-04,"Europe",NA,NA,NA,TRUE,311,FALSE
"379","200629_SaoPaulo_UniversidadedeSaoPaulo_GenPopulation","200629_SaoPaulo_UniversidadedeSaoPaulo","http://medrxiv.org/cgi/content/short/2020.06.29.20142331","Preprint","Brazil","SÃ£o Paulo","","SÃ£o Paulo","04-May-20","12-May-20","Household and community samples","Simplified probability","517","4.70%","3.00%","6.60%","No","Moderate","38.50%","","","","","http://medrxiv.org/cgi/content/short/2020.06.29.20142331",2020-05-04,"Other",3,6.6,38.5,TRUE,517,TRUE
"381","200918_France_ParisUniversity_Overall","200918_France_ParisUniversity","https://www.medrxiv.org/content/10.1101/2020.09.16.20195693v1","Preprint","France","","","","04-May-20","23-Jun-20","Household and community samples","Simplified probability","14628","6.72%","","","No","Moderate","91.40%","","","","","https://www.medrxiv.org/content/10.1101/2020.09.16.20195693v1",2020-05-04,"Europe",NA,NA,91.4,TRUE,14628,TRUE
"382","201127_Utah_UniversityOfUtah_GenPop_testadj_popadj","201127_Utah_UniversityOfUtah","https://www.medrxiv.org/content/10.1101/2020.10.26.20219907v1","Preprint","United States of America","Utah","Utah, Salt Lake, Davis, and Summit","","04-May-20","30-Jun-20","Household and community samples","Stratified probability","8108","0.80%","0.10%","1.60%","No","Moderate","20.00%","","","Households","8,108 individuals/5,125 households completed,of those, 5,791 individual participants were in the combined home visit and mailed recruitment frame, 2,317 were in the mailed recruitment only","https://www.medrxiv.org/content/10.1101/2020.10.26.20219907v1",2020-05-04,"US",0.1,1.6,20,TRUE,8108,TRUE
"387","200721_Idaho_UniversityofWashington_TotalPopTestAdj","200721_Idaho_UniversityofWashington","https://www.medrxiv.org/content/10.1101/2020.07.19.20157198v1","Preprint","United States of America","Idaho","Blaine","","04-May-20","19-May-20","Household and community samples","Self-referral","917","23.10%","19.80%","26.50%","Yes","Moderate","88.80%","","","","","https://www.medrxiv.org/content/10.1101/2020.07.19.20157198v1",2020-05-04,"US",19.8,26.5,88.8,FALSE,917,TRUE
"388","201204_Andorra_ISGlobal_Overall","201204_Andorra_ISGlobal","https://www.researchsquare.com/article/rs-119323/v1","Preprint","Andorra","","","","04-May-20","28-May-20","Household and community samples","Self-referral","70494","11.00%","","","Yes","Moderate","92.70%","","","","","https://www.researchsquare.com/article/rs-119323/v1",2020-05-04,"Europe",NA,NA,92.7,FALSE,70494,TRUE
"391","201127_Trento_AziendaProvincialeperiServiziSanitari_OverallAdj","201127_Trento_AziendaProvincialeperiServiziSanitari","https://dx.doi.org/10.1016/j.cmi.2020.11.013","Journal article","Italy","Trento","","","05-May-20","15-May-20","Household and community samples","Entire sample","6075","25.70%","","","Yes","Low","84.60%","","","","","https://dx.doi.org/10.1016/j.cmi.2020.11.013",2020-05-05,"Europe",NA,NA,84.6,FALSE,6075,TRUE
"415","200917_India_MinistryofHealth&FamilyWelfare_OverallPopAdj","200917_India_MinistryofHealth&FamilyWelfare","http://dx.doi.org/10.4103/ijmr.IJMR_3290_20","Journal article","India","","","","11-May-20","04-Jun-20","Household and community samples","Stratified probability","28000","0.64%","0.30%","0.99%","Yes","Low","86.9 to 95.9","","","Ranged from '86.9 to 95.9' in different strata","","http://dx.doi.org/10.4103/ijmr.IJMR_3290_20",2020-05-11,"Other",0.3,0.99,92.38,TRUE,28000,TRUE
"420","200911_UnitedStates_ClinicalReferenceLaboratories_Overall","200911_UnitedStates_ClinicalReferenceLaboratories","https://www.medrxiv.org/content/10.1101/2020.09.09.20191296v1","Preprint","United States of America","","","","12-May-20","25-Jun-20","Household and community samples","Convenience","50025","3.00%","","","No","High","N/a","","Upon further review, the sample frame while labeled as household and communtity was more akin to blood serum and blood bank practices ","convenience sample from a pool of life insurance applicants who had blood tests performed as part of life insurance underwriting","","https://www.medrxiv.org/content/10.1101/2020.09.09.20191296v1",2020-05-12,"US",NA,NA,NA,FALSE,50025,TRUE
